location,forecast_date,temperature_high,temperature_low,rainfall_mm,humidity_percent,conditions,farming_advisory,risk_level,id,created_date,updated_date,created_by_id,created_by,is_sample
"Kasese","2025-12-28","28","19","5","78","cloudy","Ideal for weeding and crop management.","","694e3466b0df7909ab0e70dc","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Jinja","2025-12-30","25","19","10","82","rainy","Check for standing water in fields.","","694e3466b0df7909ab0e70d7","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Kasese","2026-01-01","28","20","0","74","sunny","Optimize conditions for crop drying.","","694e3466b0df7909ab0e70e0","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Lira","2025-12-27","24","18","22","89","rainy","Avoid planting if excessive rains continue.","","694e3466b0df7909ab0e70e2","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Masaka","2025-12-30","25","19","9","83","rainy","Ensure proper drainage systems.","","694e3466b0df7909ab0e70ec","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Masaka","2025-12-31","24","18","14","87","rainy","Monitor for pest outbreaks.","","694e3466b0df7909ab0e70ed","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Mbarara","2025-12-31","23","17","16","88","rainy","Look out for insects and pests.","","694e3466b0df7909ab0e70d1","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Jinja","2025-12-27","24","18","20","88","rainy","Postpone planting until dry conditions.","","694e3466b0df7909ab0e70d4","2025-12-26T07:08:22.897000","2025-12-26T07:08:22.897000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Kampala","2025-12-28","26","19","5","80","cloudy","Favorable for weeding and maintaining crops.","","694e3466b0df7909ab0e70b9","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Gulu","2025-12-28","27","21","5","80","cloudy","Ideal for intercropping and maintaining existing crops.","","694e3466b0df7909ab0e70c7","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Mbale","2025-12-27","22","16","25","93","rainy","Consider building barriers to protect against flooding.","","694e3466b0df7909ab0e70bf","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Mbale","2025-12-30","23","17","10","85","rainy","Monitor crops for diseases due to humidity.","","694e3466b0df7909ab0e70c2","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Mbale","2025-12-31","22","16","30","94","rainy","Ensure water drainage in fields.","","694e3466b0df7909ab0e70c3","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Mbale","2026-01-01","24","17","0","72","sunny","Favorable to start preparing land for future crops.","","694e3466b0df7909ab0e70c4","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Gulu","2025-12-31","25","19","15","87","rainy","Check for crop diseases and pests.","","694e3466b0df7909ab0e70ca","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Gulu","2025-12-29","28","21","0","75","sunny","Perfect for applying organic fertilizers.","","694e3466b0df7909ab0e70c8","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Kampala","2025-12-31","24","18","12","89","rainy","Check for pests and diseases in crops.","","694e3466b0df7909ab0e70bc","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Kampala","2025-12-27","24","18","15","90","rainy","Delay planting of seeds until the rains subside.","","694e3466b0df7909ab0e70b8","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Kampala","2025-12-30","25","19","8","88","rainy","Ensure fields are well-drained.","","694e3466b0df7909ab0e70bb","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Kampala","2025-12-26","25","19","10","85","rainy","Prepare drainage systems to prevent waterlogging.","","694e3466b0df7909ab0e70b7","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Mbale","2025-12-26","23","17","20","92","rainy","Avoid excessive tillage to prevent soil erosion.","","694e3466b0df7909ab0e70be","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Mbale","2025-12-28","24","17","8","80","cloudy","Weeding is recommended when the soil is moist.","","694e3466b0df7909ab0e70c0","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Gulu","2025-12-26","26","20","15","88","rainy","Ensure proper soil management to prevent runoff.","","694e3466b0df7909ab0e70c5","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Kampala","2025-12-29","27","20","0","75","sunny","Good day for applying fertilizers.","","694e3466b0df7909ab0e70ba","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Mbale","2025-12-29","25","18","0","70","sunny","Good time for planting fast-growing crops.","","694e3466b0df7909ab0e70c1","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Gulu","2025-12-30","26","20","10","85","rainy","Ensure fields are well-drained to prevent waterlogging.","","694e3466b0df7909ab0e70c9","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Kampala","2026-01-01","26","19","0","76","sunny","Ideal for harvesting mature crops.","","694e3466b0df7909ab0e70bd","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
"Gulu","2025-12-27","25","19","20","90","rainy","Delay planting until weather stabilizes.","","694e3466b0df7909ab0e70c6","2025-12-26T07:08:22.896000","2025-12-26T07:08:22.896000","69291a9790480e103c9117fb","mitisulaiman@gmail.com","false"
